Spot,Price,Delta,Gamma,Theta,Rho,Vega
50.500000,2.609501,-0.345170,0.036498,0.860391,-20.027434,18.604672
51.000000,2.437186,-0.326921,0.035414,0.888029,-19.106390,18.420382
51.500000,2.282579,-0.309795,0.034252,0.905775,-18.224973,18.157182
52.000000,2.127972,-0.292669,0.033091,0.923521,-17.343557,17.893982
52.500000,1.989910,-0.276727,0.031884,0.932265,-16.507217,17.563469
53.000000,1.851848,-0.260785,0.030677,0.941009,-15.670878,17.232957
53.500000,1.729125,-0.246059,0.029452,0.941769,-14.883646,16.847302
54.000000,1.606402,-0.231333,0.028228,0.942529,-14.096414,16.461646
54.500000,1.497793,-0.217827,0.027011,0.936394,-13.360982,16.033058
55.000000,1.389183,-0.204322,0.025794,0.930259,-12.625550,15.604470
55.500000,1.293471,-0.192020,0.024604,0.918340,-11.943381,15.144759
56.000000,1.197758,-0.179718,0.023414,0.906421,-11.261212,14.685049
56.500000,1.113753,-0.168584,0.022269,0.889809,-10.632682,14.205279
57.000000,1.029748,-0.157449,0.021123,0.873198,-10.004152,13.725509
57.500000,0.956304,-0.147432,0.020034,0.852929,-9.428698,13.235739
58.000000,0.882860,-0.137416,0.018944,0.832660,-8.853244,12.745968
58.500000,0.818888,-0.128455,0.017921,0.809694,-8.329525,12.255090
59.000000,0.754916,-0.119495,0.016897,0.786728,-7.805805,11.764211
59.500000,0.699393,-0.111522,0.015945,0.761927,-7.331852,11.279857
60.000000,0.643870,-0.103550,0.014993,0.737126,-6.857898,10.795503
60.500000,0.595844,-0.096492,0.014116,0.711251,-6.431263,10.324027
61.000000,0.547817,-0.089434,0.013238,0.685375,-6.004629,9.852550
61.500000,0.506410,-0.083216,0.012436,0.659076,-5.622519,9.399054
62.000000,0.465002,-0.076998,0.011635,0.632777,-5.240409,8.945557
62.500000,0.429412,-0.071544,0.010908,0.606598,-4.899805,8.513964
63.000000,0.393822,-0.066090,0.010181,0.580419,-4.559201,8.082370
63.500000,0.363322,-0.061327,0.009526,0.554802,-4.256960,7.675521
64.000000,0.332822,-0.056564,0.008872,0.529185,-3.954718,7.268672
64.500000,0.306759,-0.052420,0.008286,0.504477,-3.687660,6.888446
65.000000,0.280695,-0.048277,0.007701,0.479769,-3.420602,6.508220
65.500000,0.258481,-0.044687,0.007180,0.456232,-3.185583,6.155659
66.000000,0.236268,-0.040297,0.008259,0.432695,-2.950564,5.803098
66.500000,0.217385,-0.037433,0.007327,0.410514,-2.744528,5.478534
67.000000,0.200100,-0.034569,0.003198,0.389164,-2.553131,5.169571
67.500000,0.183615,-0.031756,0.004028,0.368230,-2.369052,4.868408
68.000000,0.167130,-0.029649,0.006642,0.347296,-2.184974,4.567245
68.500000,0.153873,-0.027784,0.003917,0.328382,-2.031371,4.301454
69.000000,0.140802,-0.024650,0.003356,0.309584,-1.879523,4.037699
69.500000,0.128048,-0.023131,0.005389,0.291037,-1.730830,3.778017
70.000000,0.117830,-0.021521,0.002903,0.274491,-1.607390,3.550923
70.500000,0.107612,-0.019078,0.002716,0.257945,-1.483949,3.323828
71.000000,0.097761,-0.017903,0.004333,0.241753,-1.364353,3.102191
71.500000,0.089893,-0.016659,0.002121,0.227479,-1.265547,2.910078
72.000000,0.082024,-0.014714,0.002044,0.213204,-1.166742,2.717965
72.500000,0.074294,-0.013762,0.003673,0.199090,-1.069459,2.528210
73.000000,0.068332,-0.012809,0.001767,0.187024,-0.991656,2.368642
73.500000,0.062369,-0.011278,0.001295,0.174958,-0.913854,2.209073
74.000000,0.056407,-0.010518,0.002815,0.162892,-0.836051,2.049505
74.500000,0.051739,-0.009758,0.001745,0.152595,-0.773234,1.915101
75.000000,0.047296,-0.008709,0.000803,0.142607,-0.713022,1.785073
