Spot,Price,Delta,Gamma,Theta,Rho,Vega
50.500000,2.609824,-0.344756,0.036465,0.860468,-20.015364,18.599396
51.000000,2.442004,-0.326804,0.035359,0.885600,-19.104032,18.394952
51.500000,2.283024,-0.309414,0.034216,0.905806,-18.212563,18.151276
52.000000,2.132596,-0.292603,0.033043,0.921297,-17.342378,17.871183
52.500000,1.990429,-0.276383,0.031848,0.932303,-16.494729,17.557598
53.000000,1.856224,-0.260764,0.030638,0.939071,-15.670699,17.213515
53.500000,1.729678,-0.245752,0.029419,0.941859,-14.871202,16.841968
54.000000,1.610486,-0.231350,0.028199,0.940933,-14.096985,16.445993
54.500000,1.498344,-0.217557,0.026982,0.936567,-13.348641,16.028608
55.000000,1.392948,-0.204370,0.025773,0.929036,-12.626609,15.592780
55.500000,1.293996,-0.191783,0.024579,0.918616,-11.931183,15.141403
56.000000,1.201188,-0.179789,0.023402,0.905580,-11.262523,14.677282
56.500000,1.114232,-0.168377,0.022247,0.890195,-10.620662,14.203108
57.000000,1.032838,-0.157536,0.021117,0.872725,-10.005515,13.721453
57.500000,0.956724,-0.147253,0.020016,0.853423,-9.416891,13.234750
58.000000,0.885614,-0.137513,0.018945,0.832532,-8.854501,12.745289
58.500000,0.819241,-0.128300,0.017906,0.810286,-8.317968,12.255206
59.000000,0.757346,-0.119597,0.016902,0.786906,-7.806835,11.766484
59.500000,0.699676,-0.111388,0.015933,0.762602,-7.320580,11.280946
60.000000,0.645991,-0.103653,0.015001,0.737569,-6.858617,10.800256
60.500000,0.596056,-0.096376,0.014106,0.711990,-6.420311,10.325919
61.000000,0.549649,-0.089536,0.013248,0.686035,-6.004982,9.859288
61.500000,0.506555,-0.083115,0.012429,0.659859,-5.611915,9.401561
62.000000,0.466568,-0.077095,0.011646,0.633605,-5.240368,8.953791
62.500000,0.429494,-0.071456,0.010902,0.607403,-4.889577,8.516891
63.000000,0.395146,-0.066180,0.010193,0.581370,-4.558760,8.091636
63.500000,0.363348,-0.061250,0.009521,0.555610,-4.247128,7.678679
64.000000,0.333930,-0.056646,0.008885,0.530217,-3.953888,7.278548
64.500000,0.306734,-0.052353,0.008282,0.505270,-3.678244,6.891661
65.000000,0.281610,-0.048352,0.007714,0.480843,-3.419407,6.518332
65.500000,0.258414,-0.044627,0.007177,0.456994,-3.176596,6.158778
66.000000,0.237014,-0.041162,0.006672,0.433776,-2.949039,5.813128
66.500000,0.217282,-0.037943,0.006197,0.411232,-2.735980,5.481430
67.000000,0.199100,-0.034954,0.005751,0.389395,-2.536679,5.163660
67.500000,0.182357,-0.032181,0.005333,0.368292,-2.350417,4.859727
68.000000,0.166947,-0.029611,0.004941,0.347944,-2.176491,4.569484
68.500000,0.152773,-0.027230,0.004574,0.328365,-2.014222,4.292729
69.000000,0.139743,-0.025027,0.004231,0.309562,-1.862956,4.029218
69.500000,0.127772,-0.022989,0.003911,0.291540,-1.722060,3.778667
70.000000,0.116778,-0.021106,0.003613,0.274295,-1.590927,3.540759
70.500000,0.106688,-0.019368,0.003335,0.257823,-1.468973,3.315149
71.000000,0.097433,-0.017763,0.003076,0.242116,-1.355640,3.101470
71.500000,0.088946,-0.016284,0.002836,0.227159,-1.250396,2.899336
72.000000,0.081169,-0.014920,0.002612,0.212940,-1.152732,2.708346
72.500000,0.074046,-0.013664,0.002405,0.199441,-1.062166,2.528091
73.000000,0.067523,-0.012508,0.002213,0.186643,-0.978237,2.358152
73.500000,0.061555,-0.011445,0.002034,0.174526,-0.900511,2.198111
74.000000,0.056095,-0.010468,0.001870,0.163068,-0.828575,2.047544
74.500000,0.051102,-0.009570,0.001717,0.152246,-0.762039,1.906031
75.000000,0.046540,-0.008745,0.001576,0.142037,-0.700534,1.773157
